代碼,寺廟名稱,寺廟地址,X座標,Y座標,lat,lnt
148,艋舺青山宮,臺北市萬華區貴陽街2段218號,300404.386,2770300.725,25.03999713,121.4995077
149,艋舺龍津宮,臺北市萬華區長沙街2段184號,300404.386,2770300.725,25.03999713,121.4995077
150,蓮池寺,臺北市萬華區桂林路246巷48號,299700.799,2769943.828,25.03679834,121.4925225
151,巖清寺,臺北市萬華區環河南路3段203號,299682.977,2768255.697,25.02155845,121.4922851
152,天恩宮,臺北市文山區指南路3段38巷37之2號,309786.783,2762627.1,24.97037882,121.5921515
153,木柵集應廟,臺北市文山區保儀路76號,307388.859,2764498.919,24.98737009,121.5684802
154,台北文山興安宮,臺北市文山區仙岩路16巷64號,307388.859,2764498.919,24.98737009,121.5684802
155,台北市大慈佛社,臺北市文山區試院路4巷22號,305565.427,2764728.205,24.98950798,121.5504276
156,台北市文山區頂公館福德宮,臺北市文山區公館街44之1號,304275.642,2766489.102,25.00545205,121.5377207
157,台北市文山區溝子口福德宮,臺北市文山區木柵路1段59巷1號,305108.762,2764440.743,24.98692944,121.5458926
158,光淨寺,臺北市文山區興隆路4段1巷88號,306510.03,2764915.063,24.99116002,121.559792
159,明德宮,臺北市文山區老泉街45巷27之1號,308438.346,2762580.416,24.97000988,121.5787946
160,指南宮,臺北市文山區萬壽路115號,309224.954,2763675.199,24.97986302,121.586632
161,凌振宮,臺北市文山區木柵路1段191巷54號,305620.447,2764606.612,24.98840823,121.5509677
162,真修寺,臺北市文山區試院路134號,305133.791,2764845.808,24.99058545,121.5461567
163,財團法人台北市木柵忠順廟,臺北市文山區中崙路13號,307001.506,2764080.58,24.98360795,121.564626
164,財團法人台北市景美集應廟,臺北市文山區景美街37號,304701.859,2764967.125,24.99169634,121.5418829
165,財團法人萬慶巖清水祖師廟,臺北市文山區萬慶街124號,304172.851,2765335.134,24.99503772,121.5366571
166,祥光寺,臺北市文山區萬壽路63號,309453.733,2764617.395,24.98836015,121.5889386
167,慈光寺,臺北市文山區萬芳路26巷5號,307452.387,2765381.115,24.9953321,121.5691461
168,福興宮,臺北市文山區福興路5號,305656.096,2766140.679,25.00225643,121.5513826
169,樟山寺,臺北市文山區老泉街45巷29號,308492.996,2762914.018,24.97301951,121.57935
170,天達堂,臺北市南港區研究院路3段25巷8號,312571.564,2768847.151,25.02642029,121.6200135
171,台北南港慈岩宮,臺北市南港區研究院路3段161巷12號,312087.075,2768789.129,25.02591642,121.6152104
172,玉成公園福德宮,臺北市南港區中坡南路51號,308940.69,2770621.359,25.04258331,121.584113
173,西新福壽宮,臺北市南港區成功路1段臨79號,309796.94,2772299.682,25.05770134,121.5926711
174,坤元宮,臺北市南港區三重路79巷8弄2之1號,311869.018,2772603.302,25.06035898,121.613221
175,明心禪寺,臺北市南港區研究院路3段280巷1號,311254.905,2769246.637,25.03008063,121.6069853
176,金山寺,臺北市南港區中南街168巷1號,311958.009,2771562.245,25.05095689,121.6140562
177,南港慈雲寺,臺北市南港區福山街44巷15弄1號,312287.782,2770930.808,25.04524286,121.6172958
178,南港聖德宮,臺北市南港區研究院路4段162巷6號,309569.076,2768303.348,25.02163202,121.5902401
179,後山坡福德爺廟,臺北市南港區東新街170巷臨1號,309807.679,2770994.757,25.04592027,121.5927209
180,富南宮,臺北市南港區研究院路1段112號,312141.423,2771665.048,25.05187745,121.6158786
181,無極明聖宮,臺北市南港區忠孝東路7段478巷臨12號,311523.575,2771521.652,25.05060816,121.609749
182,慈善總堂,臺北市南港區研究院路2段83號,312080.547,2770937.898,25.04531538,121.6152425
183,新福宮,臺北市南港區南港路2段238巷2號,310262.489,2771940.148,25.05443705,121.5972694
184,護國九天宮,臺北市南港區南深路91巷33號,313912.993,2768978.117,25.02754659,121.633311
185,三教山清靈宮,臺北市內湖區康樂街236之6號,313912.993,2768978.117,25.02754659,121.633311
186,內湖公舘庄武身開漳聖王廟,臺北市內湖區內湖路3段256巷8號,309155.28,2776027.109,25.09137711,121.5864719
187,內湖承天宮,臺北市內湖區文湖街21巷93號,306539.635,2776107.35,25.09220175,121.5605444
188,太陽堂,臺北市內湖區碧山路2號,309584.264,2775614.007,25.08763084,121.5907068
189,台北市內湖區碧霞宮,臺北市內湖區碧山路29號,309394.69,2776327.472,25.09407933,121.5888583
190,台北慈光廟,臺北市內湖區民權東路6段206巷143弄113號,310740.188,2773128.902,25.06514978,121.6020562
191,台北護國延平宮,臺北市內湖區內湖路3段348巷6號,308850.998,2776029.622,25.09141169,121.5834555
192,竹月寺,臺北市內湖區環山路2段50巷14弄臨14之7號,307656.351,2775845.37,25.0897944,121.5716043
193,金碧宮,臺北市內湖區金龍路92號,309653.244,2775350.139,25.08524597,121.5913792
194,恆光禪寺,臺北市內湖區碧山路44之6號,309421.716,2777672.064,25.10621694,121.5891844
195,峰碧山圓覺寺,臺北市內湖區碧山路39號,309588.413,2776724.267,25.09765387,121.5907961
196,財團法人金龍院,臺北市內湖區內湖路3段256巷2號,309139.799,2776124.308,25.09225521,121.5863226
197,新坡尾福德廟,臺北市內湖區內湖路3段367號,308842.572,2775828.842,25.08959942,121.5833633
198,碧山巖開漳聖王廟,臺北市內湖區碧山路24號,309266.577,2776686.421,25.09732488,121.5876037
199,福德祠,臺北市內湖區康寧路1段236號,310138.315,2774550.169,25.07800477,121.5961528
200,梘頭福德祠,臺北市內湖區內湖路2段450號前,309771.552,2775166.901,25.08358706,121.592544
201,九蓮寺,臺北市士林區劍南路203巷6號,306118,2776861,25.09902132,121.5563952
202,士林街福德宮,臺北市士林區大南路138號,302734,2775863,25.09013353,121.5228066
203,天母三玉宮,臺北市士林區天母東路6號,303508.841,2778955.023,25.11802064,121.5306085
204,台北市士林承德福德宮,臺北市士林區劍潭路40號,302684.206,2775169.751,25.08387669,121.5222864
205,台北市士林區合誠宮,臺北市士林區平菁街106巷6之1號,308084.844,2780325.268,25.13022156,121.5760417
206,台北地藏禪寺,臺北市士林區延平北路7段189號,299563.397,2776902.109,25.09962197,121.4914115
207,永明寺,臺北市士林區仰德大道2段100巷20號,305240.478,2777784.776,25.1073934,121.5477322
208,共和宮,臺北市士林區社子街117號,300964.749,2775646.825,25.08824269,121.5052587
209,吉祥寺,臺北市士林區東山路25巷81弄40號,304599.832,2779550.291,25.12335551,121.5414504
